vesselUid,mmsi,imo,longitude,latitude,sog,cog,rot,heading,navStatus,posMsgType,posSrc,vesselName,callsign,flag,vesselTypeAis,vesselType,length,width,dwt,grt,destination,eta,draught,staticMsgType,staticSrc,posDt,staticDt,insertDt
6562862,271048210,,29.012921673038356,41.01770311547888,2.8,70.9,0.01,,99,18.0,TER,MOBYDICK 1,TCA2553,TR,54.0,ANTI-POLLUTION,14,6,,,,,0.0,,,2022-02-23 01:03:56+00:00,2022-02-23T00:41:44Z,2022-02-23T01:06:39Z
5114570,312971000,9722168.0,36.582158593814974,44.85089532543484,0.1,245.3,0.0,22.0,1,3.0,ROAM,ATLAS DOUBLE,V3SN4,BZ,90.0,CRANE AND LIFTING UNIT,78,23,543.0,2499.0,CHITTAGONG/B'DESH,2022-08-21T09:00:00Z,12.0,,,2022-02-23 01:09:20+00:00,2022-02-23T00:37:47Z,2022-02-23T01:10:59Z
5827263,538008263,9804813.0,28.96882294892813,41.3494289419474,1.17,164.8,1.19,276.0,0,1.0,TER,FAIRCHEM HAWK,V7A2160,MH,80.0,LIQUID TANKER,145,24,19956.0,12188.0,CAPE TOWN,2022-03-19T12:00:00Z,10.0,,,2022-02-23 01:10:07+00:00,2022-02-23T00:25:58Z,2022-02-23T01:11:36Z
343887,272123700,,28.78352962212717,45.254084108584586,6.84,357.1,0.02,358.0,0,1.0,TER,LOTSMAN ROSCHYN,,UA,50.0,PILOT VESSEL,15,5,,,,2022-09-25T15:00:00Z,1.8,,,2022-02-23 01:11:52+00:00,2022-02-23T00:21:24Z,2022-02-23T01:12:52Z
6087192,2640436,,28.46800954993907,44.10265804028249,0.0,359.8,0.02,,95,,TER,,,,,,0,0,,,,,,,,2022-02-23 01:19:58+00:00,2022-02-23T01:14:00Z,2022-02-23T01:20:18Z
3432721,273374060,,33.4406855139495,44.56589710504403,0.0,352.9,-0.03,,99,18.0,TER,TOPAZ,UBGN2,RU,0.0,UNSPECIFIED,0,0,,,,,0.0,,,2022-02-23 01:24:49+00:00,2022-02-23T01:06:40Z,2022-02-23T01:26:55Z
475155,214182749,8600090.0,30.64517891169092,46.331343975519495,0.0,359.9,-0.01,293.0,5,3.0,TER,RAPID,ER2749,MD,52.0,TUG AND TOWAGE VESSEL,39,11,375.0,545.0,CHERNOMORSK,2022-09-06T19:00:00Z,5.5,,,2022-02-23 01:28:25+00:00,2022-02-23T01:23:29Z,2022-02-23T01:29:12Z
338584,271041685,,29.053457949769847,41.03699582065375,0.2,146.9,0.02,,99,18.0,TER,DENDEN 9,YM6249,TR,37.0,PLEASURE CRAFT,18,5,,,,,0.0,,,2022-02-23 01:43:49+00:00,2022-02-23T01:28:37Z,2022-02-23T01:43:50Z
5617115,992641003,,28.711484902541063,44.11798068383118,0.0,0.3,0.06,,1,,TER,CONSTANTA INTRARE,,,105.0,"LIGHT, WITHOUT SECTORS",0,0,,,,,,,,2022-02-23 01:45:00+00:00,2022-02-23T01:07:03Z,2022-02-23T01:45:08Z
5766894,271010740,,29.007178988864343,41.010470785847694,0.0,184.5,0.07,,99,18.0,TER,FENER 1,TCA2996,TR,52.0,TUG,13,4,,,,,0.0,,,2022-02-23 01:50:03+00:00,2022-02-23T01:22:40Z,2022-02-23T01:50:34Z
346765,273328100,8230572.0,29.261224329186565,40.84368923289112,0.0,6.4,-0.01,,5,3.0,TER,VODLA 2,UAKV,RU,70.0,GENERAL CARGO SHIP,114,13,3510.0,2457.0,TUZLA,2022-02-02T15:00:00Z,2.6,,,2022-02-23 01:55:16+00:00,2022-02-23T01:19:26Z,2022-02-23T01:56:48Z
6683769,271048659,,29.309326894068917,40.80441405742158,0.1,5.6,0.02,,99,18.0,ROAM,GOKDENIZ 4,YM6439,TR,36.0,SAILING VESSEL,14,4,,,,,0.0,,,2022-02-23 01:55:24+00:00,2022-02-23T01:53:33Z,2022-02-23T01:56:47Z
6913850,213557000,,41.65402797091557,42.16054608408333,0.0,17.5,-0.16,115.0,99,18.0,TER,SAKARTVELO,4LWK2,GE,30.0,FISHING,31,10,,,,,0.0,,,2022-02-23 02:07:54+00:00,2022-02-23T01:57:53Z,2022-02-23T02:10:38Z
753673,636012814,9311622.0,36.547349011233976,45.11393739603846,0.0,284.6,1.16,38.0,1,3.0,TER,VLADIMIR TIKHONOV,A8IA6,LR,80.0,LIQUID TANKER,281,50,162362.0,87146.0,RUKZP,2022-07-06T05:00:00Z,13.2,,,2022-02-23 02:14:11+00:00,2022-02-23T01:16:53Z,2022-02-23T02:15:51Z
350713,273448780,,36.47175234790684,45.27561711528723,3.36,298.1,0.04,,0,1.0,TER,ZALIV,UIZC,RU,50.0,PILOT VESSEL,20,4,,,,,1.5,,,2022-02-23 02:15:14+00:00,2022-02-23T01:15:47Z,2022-02-23T02:15:18Z
3274,271049690,9437799.0,28.00857984163448,40.81947734487665,8.4,263.7,0.13,257.0,0,1.0,SAT,MMK IDEFIX,TCA6772,TR,70.0,GENERAL CARGO SHIP,100,17,6036.0,4109.0,ISKENDERUN/TR,2022-02-28T03:00:00Z,3.8,,,2022-02-23 02:18:43+00:00,2022-02-23T02:05:12Z,2022-02-23T02:21:40Z
347071,273332700,8863422.0,36.63713118729605,45.45104770346175,0.0,203.6,-0.06,,1,1.0,ROAM,CHUPA,UBGO,RU,70.0,GENERAL CARGO SHIP,139,17,5037.0,4029.0,KAVKAZ,2022-02-23T13:00:00Z,3.5,,,2022-02-23 02:19:05+00:00,2022-02-23T01:52:27Z,2022-02-23T02:21:38Z
6916620,271049679,,28.962091097607612,41.01116138779878,0.0,358.1,0.12,,1,18.0,ROAM,EFSANE,TCA6579,TR,37.0,PLEASURE CRAFT,22,3,,,,,0.0,,,2022-02-23 02:27:10+00:00,2022-02-23T01:49:48Z,2022-02-23T02:27:47Z
346108,273316820,8932015.0,37.83677276551007,44.7228024176176,0.1,216.9,-0.0,219.0,5,3.0,TER,SPK 165,,RU,95.0,CRANE AND LIFTING UNIT,38,14,338.0,596.0,MOVOROSSIYSK,2021-12-14T11:00:00Z,2.0,,,2022-02-23 02:28:15+00:00,2022-02-23T02:04:53Z,2022-02-23T02:28:31Z
364253,314558000,9504267.0,28.675985143979435,44.351049684888544,0.0,25.7,-0.02,273.0,5,3.0,ROAM,OBIRIX,8PBC7,BB,70.0,GENERAL CARGO SHIP,116,18,9641.0,6478.0,EGALY>ROMID,2022-02-23T22:00:00Z,4.7,,,2022-02-23 02:33:10+00:00,2022-02-23T01:48:39Z,2022-02-23T02:34:18Z
5167280,2731250,,33.48856132445764,44.614811582251264,0.0,1.5,-0.13,,95,,TER,,,,,,0,0,,,,,,,,2022-02-23 02:36:07+00:00,2022-02-23T01:55:23Z,2022-02-23T02:37:41Z
712205,538002852,9357561.0,28.8622445339866,40.93317799373096,0.0,75.7,-0.02,337.0,1,3.0,TER,HISTRIA AZURE,V7MG7,MH,84.0,LIQUID TANKER,180,32,40394.0,25938.0,KARABURUN,2022-02-24T19:00:00Z,8.9,,,2022-02-23 02:37:30+00:00,2022-02-23T02:09:24Z,2022-02-23T02:40:04Z
256209,255806142,9238363.0,28.656318614340268,44.16705984626873,0.0,260.4,-0.08,4.0,5,3.0,TER,ONEGO MERCHANT,CQAD4,PT,70.0,GENERAL CARGO SHIP,132,16,8930.0,6301.0,CONSTANTA,2022-01-08T19:00:00Z,4.0,,,2022-02-23 02:45:58+00:00,2022-02-23T02:44:07Z,2022-02-23T02:47:26Z
